0ElectionDate,1OfficeCode(Text),2DistrictCode(Text),3StatusCode,4CountyCode,5CountyName,6OfficeDescription,7PartyOrder,8PartyName,9PartyDescription,10CandidateID,11CandidateLastName,12CandidateFirstName,13CandidateMiddleName,14CandidateFormerName,15CandidateVotes,16WriteIn(W)/Uncommitted(Z),17Recount(*),18Nominated(N)/Elected(E)
11/8/22,2,0,0,1,ALCONA,Governor 4 Year Term (1) Position,1,DEM,Democratic,518014,Whitmer,Gretchen,,,2076,,,E
11/8/22,2,0,0,1,ALCONA,Governor 4 Year Term (1) Position,2,REP,Republican,520065,Dixon,Tudor,M.,,3802,,,
11/8/22,2,0,0,1,ALCONA,Governor 4 Year Term (1) Position,3,LIB,Libertarian,520929,Buzuma,Mary,,,38,,,
11/8/22,2,0,0,1,ALCONA,Governor 4 Year Term (1) Position,4,UST,US Taxpayers,520136,Brandenburg,Donna,,,39,,,
11/8/22,2,0,0,1,ALCONA,Governor 4 Year Term (1) Position,6,GRN,Green,520336,Hogan,Kevin,,,14,,,
11/8/22,2,0,0,1,ALCONA,Governor 4 Year Term (1) Position,7,NLP,Natural Law,520968,Simpson,Daryl,M.,,12,,,
11/8/22,2,0,0,1,ALCONA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520913,Adkisson,Elizabeth,Ann,,0,W,,
11/8/22,2,0,0,1,ALCONA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520647,Blackburn,Justin,Paul,,0,W,,
11/8/22,2,0,0,1,ALCONA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520880,Deck,Michael,Ray,,0,W,,
11/8/22,2,0,0,1,ALCONA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520882,Gipson,Joyce,Priscilla,,0,W,,
11/8/22,2,0,0,1,ALCONA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,521036,Hunt,Joseph,Michael,,0,W,,
11/8/22,2,0,0,1,ALCONA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520879,Hunt Jr.,Eugene,Rosell,,0,W,,
11/8/22,2,0,0,1,ALCONA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,521064,Irving,Joseph,,,0,W,,
11/8/22,2,0,0,1,ALCONA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520881,Kelley,Michael,David,,0,W,,
11/8/22,2,0,0,1,ALCONA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520905,Lamie,Ervin,Joseph,,0,W,,
11/8/22,2,0,0,1,ALCONA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519817,Scott,Bob,,,0,W,,
11/8/22,2,0,0,1,ALCONA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,518032,Space,Evan,S.,,0,W,,
11/8/22,2,0,0,2,ALGER,Governor 4 Year Term (1) Position,1,DEM,Democratic,518014,Whitmer,Gretchen,,,1984,,,E
11/8/22,2,0,0,2,ALGER,Governor 4 Year Term (1) Position,2,REP,Republican,520065,Dixon,Tudor,M.,,2258,,,
11/8/22,2,0,0,2,ALGER,Governor 4 Year Term (1) Position,3,LIB,Libertarian,520929,Buzuma,Mary,,,48,,,
11/8/22,2,0,0,2,ALGER,Governor 4 Year Term (1) Position,4,UST,US Taxpayers,520136,Brandenburg,Donna,,,24,,,
11/8/22,2,0,0,2,ALGER,Governor 4 Year Term (1) Position,6,GRN,Green,520336,Hogan,Kevin,,,3,,,
11/8/22,2,0,0,2,ALGER,Governor 4 Year Term (1) Position,7,NLP,Natural Law,520968,Simpson,Daryl,M.,,9,,,
11/8/22,2,0,0,2,ALGER,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520913,Adkisson,Elizabeth,Ann,,0,W,,
11/8/22,2,0,0,2,ALGER,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520647,Blackburn,Justin,Paul,,0,W,,
11/8/22,2,0,0,2,ALGER,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520880,Deck,Michael,Ray,,0,W,,
11/8/22,2,0,0,2,ALGER,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520882,Gipson,Joyce,Priscilla,,0,W,,
11/8/22,2,0,0,2,ALGER,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,521036,Hunt,Joseph,Michael,,0,W,,
11/8/22,2,0,0,2,ALGER,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520879,Hunt Jr.,Eugene,Rosell,,0,W,,
11/8/22,2,0,0,2,ALGER,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,521064,Irving,Joseph,,,0,W,,
11/8/22,2,0,0,2,ALGER,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520881,Kelley,Michael,David,,0,W,,
11/8/22,2,0,0,2,ALGER,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520905,Lamie,Ervin,Joseph,,0,W,,
11/8/22,2,0,0,2,ALGER,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519817,Scott,Bob,,,0,W,,
11/8/22,2,0,0,2,ALGER,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,518032,Space,Evan,S.,,0,W,,
11/8/22,2,0,0,3,ALLEGAN,Governor 4 Year Term (1) Position,1,DEM,Democratic,518014,Whitmer,Gretchen,,,22802,,,E
11/8/22,2,0,0,3,ALLEGAN,Governor 4 Year Term (1) Position,2,REP,Republican,520065,Dixon,Tudor,M.,,33590,,,
11/8/22,2,0,0,3,ALLEGAN,Governor 4 Year Term (1) Position,3,LIB,Libertarian,520929,Buzuma,Mary,,,537,,,
11/8/22,2,0,0,3,ALLEGAN,Governor 4 Year Term (1) Position,4,UST,US Taxpayers,520136,Brandenburg,Donna,,,218,,,
11/8/22,2,0,0,3,ALLEGAN,Governor 4 Year Term (1) Position,6,GRN,Green,520336,Hogan,Kevin,,,134,,,
11/8/22,2,0,0,3,ALLEGAN,Governor 4 Year Term (1) Position,7,NLP,Natural Law,520968,Simpson,Daryl,M.,,60,,,
11/8/22,2,0,0,3,ALLEGAN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520913,Adkisson,Elizabeth,Ann,,0,W,,
11/8/22,2,0,0,3,ALLEGAN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520647,Blackburn,Justin,Paul,,0,W,,
11/8/22,2,0,0,3,ALLEGAN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520880,Deck,Michael,Ray,,0,W,,
11/8/22,2,0,0,3,ALLEGAN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520882,Gipson,Joyce,Priscilla,,0,W,,
11/8/22,2,0,0,3,ALLEGAN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,521036,Hunt,Joseph,Michael,,0,W,,
11/8/22,2,0,0,3,ALLEGAN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520879,Hunt Jr.,Eugene,Rosell,,0,W,,
11/8/22,2,0,0,3,ALLEGAN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,521064,Irving,Joseph,,,0,W,,
11/8/22,2,0,0,3,ALLEGAN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520881,Kelley,Michael,David,,1,W,,
11/8/22,2,0,0,3,ALLEGAN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,520905,Lamie,Ervin,Joseph,,0,W,,
11/8/22,2,0,0,3,ALLEGAN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519817,Scott,Bob,,,0,W,,
11/8/22,2,0,0,3,ALLEGAN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,518032,Space,Evan,S.,,0,W,,
